,review,point,date,ingre,token_review
2349,촉촉하고 좋아요,5,2018-10-01,프로폴리스,"['촉촉하고', '좋아요']"
2350,"봄가을,겨울 피부 건조해질때면 꼭 사용하는 프폴앰플ㅠㅠㅠ 피이지가 있는데 좀 걸리지만 그래도 유해성분이 거의 없고 순하면서 속까지 잘 채워주는 느낌이라 좋아요. 참고로 전 수부지라서 잘못쓰면 기릉 폭발인데 이건 아침에 써도 화장을 오히려 쫀쪼니 잡아줍니당",5,2018-10-01,프로폴리스,"['봄가을', '겨울', '피부', '건조해질', '때', '면', '꼭', '사용', '하', '는', '프폴앰', '플', '피', '이지', '가있는데', '좀', '걸리지만', '그래도', '유해', '성분', '이', '거의', '없고', '순하면서', '속', '까지', '잘', '채워주는', '느낌', '이라', '좋아요', '참고', '로', '전수', '부지', '라서', '잘못', '쓰면기', '릉', '폭발', '인데', '이건', '아침', '에', '써도', '화장', '을', '오히려', '쫀', '쪼니', '잡아', '줍니당']"
2351,입소문에 주문해봤어요. 촉촉하고 흡수력이 좋은것같아요. 가격도 오프라인매장보다 저렴하고 쭈욱 쓸것같아요. 감사해요,5,2018-10-01,프로폴리스,"['입', '소문', '에', '주문', '해봤어요', '촉촉하고', '흡수', '력', '이', '좋은', '것', '같아요', '가격', '도', '오프라인', '매장', '보다', '저렴하고', '쭈욱', '쓸것', '같아요', '감사해요']"
2352,항상 쓰는건데 저렴하게 사서 좋아용~~^^,5,2018-10-02,프로폴리스,"['항상', '쓰는건데', '저렴하게', '사서', '좋아용']"
2353,촉촉하고좋음,5,2018-10-02,프로폴리스,"['촉촉하고', '좋음']"
2354,너무마음에들어요.모얏도이뻐요너무마음에들어요.모얏도이뻐요너무마음에들어요.모얏도이뻐요너무마음에들어요.모얏도이뻐요너무마음에들어요.모얏도이뻐요너무마음에들어요.모얏도이뻐요너무마음에들어요.모얏도이뻐요너무마음에들어요.모얏도이뻐요너무마음에들어요.모얏도이뻐요너무마음에들어요.모얏도이뻐요너무마음에들어요.모얏도이뻐요너무마음에들어요.모얏도이뻐요,5,2018-10-03,프로폴리스,"['너무', '마음', '에', '들어요', '모', '얏', '도', '이뻐요', '너무', '마음', '에', '들어요', '모', '얏', '도', '이뻐요', '너무', '마음', '에', '들어요', '모', '얏', '도', '이뻐요', '너무', '마음', '에', '들어요', '모', '얏', '도', '이뻐요', '너무', '마음', '에', '들어요', '모', '얏', '도', '이뻐요', '너무', '마음', '에', '들어요', '모', '얏', '도', '이뻐요', '너무', '마음', '에', '들어요', '모', '얏', '도', '이뻐요', '너무', '마음', '에', '들어요', '모', '얏', '도', '이뻐요', '너무', '마음', '에', '들어요', '모', '얏', '도', '이뻐요', '너무', '마음', '에', '들어요', '모', '얏', '도', '이뻐요', '너무', '마음', '에', '들어요', '모', '얏', '도', '이뻐요', '너무', '마음', '에', '들어요', '모', '얏', '도', '이뻐요']"
2355,배송넘넘느림 상품은조음촉촉,3,2018-10-04,프로폴리스,"['배송', '넘', '넘느', '림', '상품', '은', '조음', '촉촉']"
2356,배송은 좀 느린편이었어요,5,2018-10-05,프로폴리스,"['배송', '은', '좀', '느린', '편', '이었어요']"
2357,항상 쓰던거라 또사고또샀어용~쫀득쫀득해서 좋아요ㅎ,5,2018-10-05,프로폴리스,"['항상', '쓰던거라', '또', '사고', '또', '샀어용', '쫀득쫀', '득', '해서', '좋아요']"
2358,ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅋㅋㅋㅋㅋㅌㅌㅌ 좋아,5,2018-10-05,프로폴리스,['좋아']
