,나이,성별,건성,지성,모름,건조함,과잉피지,여드름,좁쌀,홍조&예민,복합성,기미&잡티,미백앰플,수분라이트,수분앰플,쑥앰플,진정앰플
129,5.0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1
130,3.0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1
131,5.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
132,3.0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1
133,2.0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1
134,2.0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1
135,2.0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1
136,5.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
137,3.0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
138,3.0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
139,3.0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1
140,4.0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1
141,4.0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
142,3.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
143,2.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
144,6.0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
145,5.0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
146,3.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
147,4.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
148,3.0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
149,2.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
150,3.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
151,2.0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
152,3.0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1
153,2.0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0
154,3.0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1
155,8.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
156,4.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
157,1.0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0
158,3.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
159,1.0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0
160,2.0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1
161,3.0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
162,3.0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0
163,3.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
164,5.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
165,4.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
166,3.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
167,3.0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0
168,2.0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1
