,0
20,"몇통째 쓰고 있는 차앤박 프로폴리스 앰플인데 정말 자극없이 순하고 바르면 촉촉하면서 윤기가 나요~금방 스며들어서 찐덕거리지도 않고 건성인데 제피부에 아주 딱이고 큰 트러블 아직까진 없습니당!!더큰사이즈 나왓으면 좋겠어요ㅜ금방 써버립니다ㅜ가격대는 조금 있어서 세일할때 쟁여두는 편이고 겨울에 쓰는게 더 좋은거 같아요~~앰플에 너무 만족한지라 크림도 이번에 구매했는데 아직 같이 써보지는 못했습니다~~같이 쓰면 저같은 건성인 분에게는 딱일것 같아요~~아직 남아있는 크림이 있어서 이거 다쓰면 같이 써보고 후기 남기려구용!!앰플 쓴 뒤로 피부도 마니 매끈해지고 좁쌀처럼 종종 올라왔는데 이제 말끔히 사라졌어요~~왜 인기상품인지 알겠습니당^^정말 많은분들이 써봤으면 하는 앰플이에요~~그동안 여러가지 싸봤는데 그렇다할 효과나 만족은 못봤거든요ㅜ근데 이앰플로 바꾼뒤로는 정말 큰 만족을 하고 끊을수가 없을것 같아요~
가격이 조금 사악하지만 세일때 사면 괜찮아요!!고민하고 계신 분들은 그냥 바로 구매하시길!!정말 추천합니당!!"
21,차앤박이라는 브랜드 자체가 주는 신뢰감 다들 아시죠? 그 중 프로폴리스 에너지 앰플이 좋다고들 해서 저도 몇년전부터 사용하게 되었답니다. 저는 T존부위는 지성피부이고 나머지 부위는 건성피부인데요 이 제품은 한여름만 빼고 4계절 내내 바르고 있답니다. 아무래도 한여름은 수분제품이 낫지요. 그외에는 피부에 부담이 없고 흡수도 잘되고 꾸준히 사용하면 피부가 맑아지는 느낌이 드실거에요. 참고로 차앤박 프로폴리스 앰플은 같은 라인인 프로폴리스 쿠션 제품이랑 같이 사용하면 매끈하고 윤기있는 피부 만드실수 있을거에요. 이번에 대용량 버전 장기간 생산되면 좋을것 같아요. 계속 쟁이는중...
22,"✅ 저희 어머니에게 이제품 기획나왔을때 구매해서 선물을 드려 사용하고 있는데 좋다고 해서 재구매하였습니다.👏👏

✅ 60대 여성분이고 지성에 보습이나 피부탄력때문에 구매한건데 우선 발림성은 금방 흡수가 된다고 합니다, 자고 일어나서도 당김도 없고요😄👍

✅ 다만 꿀성분인가 암튼 끈적임이 조금있고 향이 그닥 좋지는 않는데 어머니는 거슬리는 정도는 아니라고 합니다. 호불호는 갈릴 거 같습니다. 가격도 저렴한 편이 아니라서 요렇게 기획제품이나 행사할 때 구매해서 쟁여놔야 겠습니다.

✅ 저희 어머니는 보통 한번만 바르는 게 아니라 날씨가 많이 건조하다 싶음 여러번 레이어드해서 바름 좋다고 하시네요~재구매 의사있습니다👍👍🤗"
23,"세럼, 로션 매번 바꾸다가 이 제품만 계속 사고 있습니다. 수분부족형지성이라 속에 보습이 채워지고 겉돌지 않는 제품을 찾았는데 속건조를 확 채워줘요. 지성이라 이거쓰고 선크림에 파운데이션 화장까지 하면 좀 기름지다고 생각할 수 있지만 걍 파우더 처리로 마무리합니다. 세인할때마다 쟹여놓는 제품이예요. 사계절 내내  아침, 저녁에 스킨케어하고 이거 하나만 사용해요. 엄마도 이거 한 번 써보더니 바로 좋다는 반응와서 엄마랑 계속 같이 쓰는 제품이에요.  어차피 자주 사용해서 빨리 없어지는 편이라 대용량크기로 자주 할인판매해주셨으면 좋겠네욯ㅎ"
24,"피부타입-트러블/예민함/복합성

돌고 돌아 다시 오게된 앰플입니다ㅠㅠ
요즘 마스크때문인지 피부가 예민했었는데 가장 피부 컨디션이 좋았을 때를 생각하니 이 앰플을 사용했을 때가 주위에서도 피부 좋다고 했을 때가 생각나서 마침 세일도 해서 다시 돌아왔어요ㅠㅠㅠ 
날이 건조해서 피부도 건조함을 느낄텐데 앰플이 진짜 아주 겁나 촉촉하고 보습도 최고라서 건조함을 못느껴요ㅋㅋㅋ역시 좋습니다~ 

자기 전에는 두번정도 레이어드해서 바르고 팩처럼 하고 자면 다음 날 피부 만져보면 촉촉함이 남아 있는게 느껴져서 겨울에 어울리는 앰플이라 생각해요! 최애템입니다!!"
25,"저는 27년 살믄서 앰플이란걸 구매하여 사용 해 본 적이 없었어요 왜냐 딱히 필요성을 못느꼈었어요 
요즈음 마스크로 인해서 피부가 많이 예민해지고 
화장도 잘 하지 않으니 푸석푸석하고 관리의 필요성을 
느끼다가 열심히 찾아보고 처음으로 앰플을 구매해보았고
아침,저녁(자기 전)으로 1주일 간 열심히 발라보았어요 
결론 부터 말씀드리자면 추천함니다 좋아요 !!!

우선 저는 악건성에 코 중앙부분은 복합성인 피부타입이고 세안 직 후 당김이 느껴지는데 토너 후 앰플 사용 후
당김이 전혀 느껴지지 않았고 잡티? 도 사라지는 것 같아 요즘 더 애용해서 바르고 있습니다 
나이가 들면 서 역시 관리의 중요성을 느낍니다.. (tmi)
많이 바르는 걸 귀찮아해서 자기 전에 토너-앰플 순으로
가볍게 레이어드 후 잠들었어요 그래도 효과 좋습니다 :) 

그리고 상자 버리려고 하다가 
솜도 들어있네요 다들 아셨나요..? 
모르고 버리실 까봐 사진과 내용 남겨드려용 ㅎㅎ"
26,"올리브영 베스트1위 제품에등극했다 하길래 반신반의하며 처음으로 구매해서 써봤네요.
마침 할인가격에 양도 많아서 망설임없이 궁새했답니다.
기대를 가득안고 발라보았어요.
우선 생각보다 참 촉촉했어요.리뷰보니 끈적임이 있다하는 분도 있던데 저는 건성이라 그런지 촉촉하니 만족스러웠어요.바르는 순간 흡수도 촥되는 느낌이었어요.바르고 손끝으로 톡톡톡 두드려주니 흡수도 잘 되더라구요.
수분감은 저 개인적으로는 최강만족은 아니었지만 98점 정도의 만족감은 되었어요.참고로 저는 다소 건성이예요.
처음으로 구매해서 써본 제품의 점수는 일단 합걱이예요.^^
강추할께요.
꾸준히 사용하고픈 제품으로 인정!!"
27,"일부러 며칠 써보고 리뷰를 남겨요~
제가 계속 쓰던 제품은 아이소이 재품이었는데 
그 제품보다는 이게 겨울에 더 알맞는 제품같아요
제품도 꾸덕꾸덕해서 사진에서 보시다시피 얼굴 도포 후 얼굴에서 바로 쪼르륵 떨어지지 않아요
꾸덕꾸덕한 느낌이 아주 좋습니다
저는 스킨을 발라 주고 난 뒤 이 제품을 사용 합니다
겨울에 굉장히 건조한 편인데 엠플 발라 주고 난 뒤 크림으로 마무리 하면 좋더라구요
다음날 아침까지 좋은 느낌이라 좋습니다
아직 오랜 기간을 사용한 건 아니라서 엄청 피부가 좋아진 것은 모르겠지만 그래도 다른 제품보다는 이 제품이 훨씬 좋은 것 같습니다
(근데 피부 진정이 좋은지는 잘 모르겠어요)
피부 타입이 건조한 사람에게도 좋고 저처럼 지성에게도 좋은 거 같아요
맨 마지막 사진은 사용후 그러니까 바르고 난 뒤에 사진 인데 피부에서 살짝 광이 도는 게 보이실 거에요"
28,"정말정말 애정하는 제품이예요
이앰플을 이제껏 몇통을 비웠는지..
한 20개는 썻을꺼예요
이번에도 한통 거의다써서
새제품 놔두었어요
몇년전부터 꾸준히 써오고있는
애정템이예요❤❤

늘 세일때마다
차앤박 프로폴리스앰플 쟁이는편인데
세상에나 이번 구성 너무좋더라구요
대용량도있고 작은용량도있어서
작은용량은 어디여행갈때나 가지고다닐때
편리하겠더라구요
크기도 앙증맞아서 너무 귀여움ㅎㅎ

이미 수많은 후기로도 인정받은만큼
속건조를 잡아주는데 정말좋아요
그럴때있잖아요 
피부가 당겨서 이것저것 처발처발했는데
왠지 피부에만 겉돌고 계속 건조한느낌..
이거 속건조가 잡히지않아 그런거였어요ㅠ

건성피부인지라 
평소 촉촉+보습 최우선으로 생각하는데
프로폴리스 추출물이 들어가있어서
피부에 충분한 영양을 주네요
밥말고 보약먹는 느낌?ㅎㅎ
이앰플 써보고난뒤에 이제품을 늘 고정템으로
제화장대에 늘있어요ㅎㅎ
보통 분들은 가을겨울에만 이제품을
쓰겠지만
저는 여름에도 소량 늘 섞어서 씁니다

이제품 저희 엄마가 더좋아하셔서
늘 세일때 엄마꺼까지 구매해요

차앤박앰플 진짜 애정해요❤
대용량제품들도 기획해서
앞으로 많이많이 보여주세요"
29,"차앤박 앰플은 워낙 유명해서 예전부터 사고싶었는데 아무래도 다른 앰플제품보다는 가격대가 나가서 항상 장바구니에 담아놓는 제품이었어요. 그런데 이번에 아주 합리적인 가격으로 기획상품이 나와서 바로 구매했습니다. 
일단 몇일 써보니 얼굴에 바르는 즉시 피부표면이 쫀쫀해지는 느낌이라 너무 좋았고 속보습까지 채워줘서 건조한 겨울이나 봄에도 써도 될것같아요. 이렇게 쫀쫀한데 오일리하지도 않아서 너무 좋구요 피부결이 부드러워진 느낌이라 재구매 하고싶습니다. 
그리고 작은 용기들도 같이 들어있어서 여행다닐때 소분해서 다니면 좋을 것 같아요!! 앞으로도 가격대 합리적으로 기획상품 자주 나오면 바로 구매하겠습니다 ㅎㅎ"
