,reviews,starpoint,date
186,감사합니다 잘사용하겠습니다,100점,2020.05.22
187,좋아요,80점,2020.05.25
188,좋아요,100점,2020.06.09
189,잘 받았습니다,100점,2020.06.11
190,좋습니다 좋아요,100점,2020.06.12
191,좋아요~~,100점,2020.06.17
192,좋아요~~,100점,2020.06.17
193,좋다고 하니 열심히 사용할려구요,100점,2020.06.26
194,번창하세요,80점,2020.07.02
195,빠른배송 감사합니다,100점,2020.07.04
196,좋아요...,100점,2020.07.05
197,항상 사용하고 있습니다.,100점,2020.07.15
198,잘쓰겠습니다.,80점,2020.07.27
199,good,80점,2020.07.27
200,good,80점,2020.07.27
201,아주 좋아요,80점,2020.08.20
202,잘 사용하고 있습니다 감사합니다,60점,2020.08.25
203,좋아요,100점,2020.09.01
204,좋아요,100점,2020.09.02
205,잘 받았어요^^,80점,2020.09.03
206,좋아요,100점,2020.09.14
207,좋을 거라 생각해요,100점,2020.10.10
208,좋을 거라 생각해요,100점,2020.10.10
209,좋을 거라 생각해요,100점,2020.10.10
210,좋을 거라 생각해요,100점,2020.10.10
211,좋을 거라 생각해요,100점,2020.10.10
212,좋을 거라 생각해요,100점,2020.10.10
213,감사,100점,2020.10.11
214,좋아요,100점,2020.10.12
215,제품 좋습니다. 굿,80점,2020.10.14
216,제품 좋습니다. 굿,80점,2020.10.14
217,배송빠름...괜찬은편~,80점,2020.10.18
218,잘쓰고있어요~좋ㅇ서 두번째 구매입니다.,80점,2020.10.20
219,좋아서 두번째구매 하네요~~~,80점,2020.10.20
220,우여히 알게 되서 구매했어요.,100점,2020.10.21
221,아주좋아요,100점,2020.10.28
222,덜어쓰기 좋아요,80점,2020.10.29
223,덜어쓰기 좋아요,80점,2020.10.29
224,덜어쓰기 좋아요,80점,2020.10.29
225,덜어쓰기 좋아요,80점,2020.10.29
226,덜어쓰기 좋아요,80점,2020.10.29
227,덜어쓰기 좋아요,80점,2020.10.29
228,좋습니다,100점,2020.10.30
229,굿~,100점,2020.10.30
230,좋아요^^~~,100점,2020.10.31
231,전에 사용해보고 또 구매했습니다 좋아요,80점,2020.11.02
232,좋다고해서 쓰고있어요,80점,2020.11.06
233,잘 사용하겠습니다. 그리고,100점,2020.11.11
234,쓰던상품 입니다,80점,2020.11.12
235,벌써 얼어서 왔네요금방 녹아서 잘쓰고 있어요,100점,2020.11.16
