,reviews,starpoint,date
31,얼굴에 뭐가 자꾸나고 건조해서 써봤는데 아주 좋아요 보습도 잘되구 향도 좋고 발림성도 좋아요 다른 앰플보다 양도 많고 오래써요 조금만써도 보습 잘되요 좋아요 민감성 피부인데 얼굴에 뭐안나요,100점,2020.07.19
32,기대 이상으로 보습력과 영양감이 좋았어요. 다음날 촉촉함이 오래도록 유지되어 요즘 건조함이 심했는데 더 효과적임을 느낄 수 있었어요! 발림성도 좋고 흡수력도 뛰어나서 데일리 아침 저녁용으로 딱입니다,100점,2020.12.25
33,"벌써 5 번째 구매인데 앰플 샘플도 많이 챙겨 주시고, 다른 크림이랑 미스트 샘플도 많이 챙겨 주셔서 좋았어요 그리고 촉촉하게 잘 발리고 향도 좋고 미백 기능도 있어 좋아요 5번째 구매한 것도 거의 다 써가서 재구매 할 의지 있어요",100점,2020.05.01
34,너무 마음에 들어요!추천합니다.차앤박 프로폴리스 앰플과 미스트는 워낙 유명한 제품이라서^^ 역시 사용감이 좋고 너무 훌륭합니다. 지인들에게 선물하려고 여러개 구입했습니다. 다들 좋아하네요. 건조할때 뿌리면 안개분사가 되어 고르게 분포됩니다.,100점,2020.05.11
35,항상 쓰는제품인데 저렴한가격에 나와서 이번에 구매해서 잘 쓰고 있어요~ 민감한 피부인데 트러블 나지도 않고 촉촉해서 아침저녁으로 쓰기 딱 좋네요 양이 좀 적어서 한달정도면 다 쓰는것 같아요,100점,2021.01.18
36,차앤박 프로폴리스 에너지 앰플좋은구성으로 재구매했어요^^앰플 샘플은 여행시 사용하면 좋을 것같고 미스트도가방에 넣고 휴대용으로 좋은 사이즈예요~건조한 겨울철에는 특별히 꼼꼼히 잘 발라주고사계절 모두 말할것 없이 사용감 좋아요^^,100점,2020.01.05
37,너무너무 만족하는 앰플이에요!! 데일리용으로 손색없고 아침저녁 사용해도 부담 없어요 건조한 피부를 잘 잡아주는것 같고 거칠거칠한 피부에도 도움이 되는것 같아요 행사할때 잘 맞춰서 쟁이도록 하려고요^^,100점,2020.09.04
38,너무너무 만족하는 앰플이에요!! 데일리용으로 손색없고 아침저녁 사용해도 부담 없어요 건조한 피부를 잘 잡아주는것 같고 거칠거칠한 피부에도 도움이 되는것 같아요 행사할때 잘 맞춰서 쟁이도록 하려고요^^,100점,2020.09.04
39,얼굴에 광이 나기 시작하면서 결이 매끈해지고 촉촉한 느낌이에요 ㅎㅎ 스포이드형이라 쓰기도 편하고 톡톡 두드려주면 진짜 촉촉합니당. 써보고 싶어 사봤는데 완전 만족함ㅎ 샀는데 작은 일회용 샘플도 많이 챙겨주셔서 너무 좋았어요,100점,2020.05.22
40,겨울이라 건조하고 피지가 활활 올라와서진정시키고픈 마음으로 이런저런 화장품 사서 쓰고있는데 좀처럼 진정이 안되네요 ㅜㅜ친구가 이게 좋다고 추천해서 구매해봐요피지랑 모공이 진정되길 바래요써보고 좋으면 계속 쓸게요,80점,2020.01.12
