,reviews,starpoint,date
72,좋은 가격에 잘 구매했습니다.최저가 찾아 구매했네요 늘 쓰는제품 저절로 최저가 찾게 되네요,100점,2020.03.28
73,SK-II SK2 페이셜 트리트먼트 에센스 230ml 너무 많이 좋아요.^^~,80점,2020.10.29
74,"워낙 좋은제품이라 비싼가격이지만 구매했어요ㅎ배송은 느렸고,, 샘플하나도 없다는게 아쉽ㅠㅠ",100점,2021.01.15
75,피테라 에센스 좋은건 다 아실거고 뷰티데이로 넘 싸게샀어요 자주 좀 세일해주세요,100점,2019.07.11
76,다 얼어서 박살나서왔네요. 한두푼하는상품도아니고 이거 환불안되면 소비자보호원에 연락 할 예정입니다.,80점,2021.01.10
77,꾸준히 쓰고 있는 제품이에요구성이 좋아서 쟁여둡니다가격좀 그만 올랐음 좋겠어요 ㅠ,100점,2020.05.21
78,원래 쓰던제품이라 당연 좋구요~~~요즘 현재로선 여기서 저렴하게 잘 산것같아요^^,100점,2020.06.10
79,SKII 페이셜 트리트먼트 에센스 저렴하게샀어요 배송빠릅니다,80점,2020.11.13
80,"저렴하게 구매했네요. 광고보고 혹해서 사게됐는데, 정말 효과 보길 바랍니다",80점,2019.07.11
81,꼭필요한 것!없으면 안되는것!좋은가격에 샀어요몰테일 꼼꼼포장에도 물개박수~~~,100점,2020.03.08
82,배송은 좀걸렸는데 면세점보다 정말 저렴히 잘샀어요. 따로 홀로그램은 없는거죠?,80점,2020.11.21
83,좋아요 좋아요 좋아요 인생화장품..SK-II에서 쉽사리 다른제품으로 못가겠네요. ㅋㅋ,100점,2019.06.11
84,온라인쇼핑몰 가운데 sk2는 롯데가 가장 저렴하고 알차게 사은품과 함께 제공됨,100점,2020.06.19
85,다른 제품은 피부에 안맞아서 이것만 씁니다꼼꼼하게 포장되어 잘받았습니다,100점,2021.02.24
86,예전에 잘 쓰던 상품인데.. 이번엔 좀 트러블이 나네요..ㅠㅠ 배송은 괜찬았어요.,60점,2019.06.17
87,3일 구입 10일 도착했네영.딱 일주일 걸리네영.매장에서 17만원인데 12만원 주고 샀네영,100점,2019.07.10
88,선물포장을 선택햇는데 달랑 쇼핑백하나만 왓네요선물포장해서 다시 주세요,20점,2020.03.30
89,"상품권, 샘플, 카드할인하면 거의 면세점 가격과 비슷합니다.감사합니다~~",100점,2020.07.07
90,해외배송임에도 배송도 빠르고 포장도 정성스럽게 들어있습니다. 샘플도 잘 쓸게요~,100점,2020.11.04
91,물탄거같아서 정품인지 의심스럽네요 괜히 가격에 혹해서 싼 거 안사야겠어요이제,20점,2019.05.05
92,안색을 맑게 하는데 최고의 에센스스킨 입니다,100점,2019.07.04
93,여름되니 피부가 또 안좋아지는듯해서 쓰던제품 다시 주문하네여,100점,2020.06.11
94,"계속 쓰던거라 구매했어요, 저렴하게 구매했는데 해외배송이라 6일 걸렸네요.",80점,2019.07.12
95,피부 트러블 진정에 좋은 것 같아요 계속 사용중이에요,100점,2019.11.15
96,발효화장품중에 제일 잘 맞아요. 다른걸로 바꿔도 결국엔 다시 돌아오게 됩니다.,100점,2020.04.04
97,sk 페이셜 트리트먼트 어센스 230ml 너무 많이 좋아요.^^ ~~,100점,2019.05.30
98,잘 받았습니당~~~^^저렴하게 잘 산것 같네용~~~~많이 파세용~~~^^,100점,2019.07.11
99,꾸준히 사용하는 제품입니다배송은 좀 걸렸지만 저렴해서 만족합니다,100점,2019.10.01
100,항상구매하는 제품입니다. 가격대비 용량대비 완전 굿굿굿입니다.,100점,2020.06.15
101,해외배송임에도 불구하고 엄청 신속도착하다SK2 는 이미 잘 알려진 브랜드,100점,2020.07.13
102,저렴하게 쿠폰이용해서 샀네요. 용량이 커서 오래쓸것 같네요~,100점,2020.11.30
103,비싸서 사용 안했더니 피부가 칙칙하고 ㅠ 비싸도 써야 겠어요,100점,2020.06.05
104,해외 배송인데 정말 배송 빠르네요 가격도 저렴하고요,100점,2019.04.19
105,스킨케어 하고나서 바르면 쫀득쫀득함 가격이 비싸다는 단점밖에는없음,100점,2019.11.17
106,항상 사용하던 제품인데 저렴한 가격으로 잘 구입했습니다,100점,2020.05.25
107,흡수가 빨라 남편이 씁니다.싸기 잘 샀어요.배송도 빨라서 잘 받았습니다,100점,2020.07.15
108,애용하는 상품을 좋은 가격에 구입했어요. 빠른 배송도 맘에 듭니다.,100점,2021.01.12
109,빠른배송 감사합니다 연휴가 있었는데 생각보다 빨리 배송해주셔서 잘 사용합니다.,100점,2019.05.08
110,배송은 빠르게 잘 받았습니다. 포장도 안전하게 잘 처리되서 왔구요,80점,2019.07.17
111,늘쓰는 제품 자극없이 피부를 맑게해주는거같아 좋아해요,100점,2019.11.18
112,11번가 제일 가격이 좋아서 구매했어요! 매우만족!,100점,2020.05.16
113,좋아요 좋아요 좋아요 연휴 껴서 열흘만에 왔네여..끊을수 없는 피테라..ㅎㅎ,100점,2021.02.15
114,선물해드렸는데 쿠폰으로 저렴하게 사고 만족합니다,100점,2019.11.13
115,썼던제품이에요다음에 또 구입할께요피부가 좋아지는 것같아요,100점,2019.11.26
116,생각보다 물건이 빨리왔어요. 선물했는데 만족스러워 하더라고요,100점,2020.08.06
117,SK2 페이셜 트리트먼트 에센스 230ml 조아요,80점,2021.02.18
118,항상사용하던제품인데 이번엔 사은품도 많고 포인트적립도 되구 일석이조랍니당,100점,2019.04.11
119,원래 쓰던건데 비싸서 못쓰고 있다가 구입했어요 주문하고 7일만에 왔네요,100점,2019.06.07
120,항상 쓰는 제품 입니다 저렴한가격에 구매했어요,100점,2020.03.19
121,워낙 유명하니까ㅋㅋ 꾸준히 써볼께요.포장도 잘해주서서 고맙습니다~,80점,2019.06.30
122,10년째 사용합니다 계속 쓰고싶은데 가격이 부담이네요,100점,2020.03.12
123,비싸서 면세점에서 구입하던 제품인데 코로나19때문에 구입하게 되었네요,100점,2020.03.18
124,좋은상품 좋은가격에 득템하고 배송까지 ~~ Gooood,100점,2020.03.26
125,빠른배송 감사합니다저렴한가격에 선물했네요,100점,2020.05.05
126,할인해서 되게 저렴히 구입. 한동안 잊어버리고 쓰겠어요.,100점,2019.07.13
127,잘 받았습니다. 늘 쓰던 제품이라 이번에도 상품에 만족합니다,100점,2020.11.12
128,늘 사용하던 좋은 제품입니다. 쿠폰적용하여 할인받아 구입했습니다.,100점,2020.11.20
129,나라사랑해야죠....이럴때 일수록 뭉쳐야죠. 마지막으로 잘 쓸게요.,60점,2019.07.21
130,유통기한을 확인할수 없어서 따로 문의해야하는거 말고는 괜찮아요,100점,2020.04.03
131,어버이날 선물로 준비했어요~ 너무 만족합니다^^!,100점,2020.05.02
132,가격 품질 상품 모두 만족합니다...,100점,2020.06.28
133,"저렴하게 잘 구매한거 같습니다, 제품도 잘 받아습니다.",100점,2020.07.12
134,생각보다 빨리 받았네요. 안전하게 잘 왔습니다. 감사드려요~^^,100점,2019.09.28
135,해외배송이라길래 시간 많이걸릴줄알았는데 정말빨리왔네요 좋아요~♡,100점,2019.10.31
136,친절하고 빠른 최고의 배송!!! 택배기사님 짱짱맨!^-^,100점,2020.01.14
137,배송도 빠르고 포장도 꼼꼼하게 잘 되어 있어서 좋습니다.,100점,2020.05.02
138,구성이 좋아요10년이상 써왔는데 피부결이 엄청 좋아졌어요,100점,2020.06.04
139,금액도 맘에들고 배송이 너무 친환경적으로 와서 맘에 듭니다.^^,100점,2021.02.23
140,"배송빠름,포장 견고함 상품은 워낙 잘 알려져 있고 순함",100점,2019.10.29
141,꼼꼼하게 포장되어서 잘왔어요! 빠른 배송에 감사드립니다.,100점,2020.06.10
142,말이 필요없는 에센스 근데 배송이 느리긴.하네요,80점,2021.02.17
143,"트러블 및 피부결, 탄력 개선에 좋은 듯해요.",100점,2019.08.02
144,배송도 빨랐고 저렴저렴하게 구입했어요,100점,2020.06.26
145,저렴하게 구매했어요. 용량이커서 좋아요,100점,2020.08.25
146,진짜 조아요 너무 조아요 정품마자요 백화점꺼랑 제가 비교해봄,100점,2019.03.15
147,엄마께 선물해드렸습니다좋은제품으로 잘쓰시길 바랍니다,100점,2019.05.10
148,배송도 빠르고 가격도 저렴하네요,100점,2020.01.31
149,늘사용하는제품이라믿고사용합니다.어쩔수없이포장선택했어요.,100점,2020.04.06
150,"기초는 비싸도 항상 sk2를 쓰는데, 만족합니다",100점,2020.06.01
151,왼.여기서산거230오.내꺼250여튼 싸게샀교10년넘게쓰는듕,60점,2021.02.10
152,늘 쓰던거라 명절쿠폰으로 저렴하게 구매했네요^^,100점,2021.02.16
153,괌 면세점에서 테스트로 써보고 가격좋은딜이떠서,100점,2019.08.13
154,해외배송이라 느릴 줄 알았는데 빨리 왔네요. 감사합니다.,100점,2020.09.26
155,2주만에받았어요 피부좋아젔으면 좋겠네요,100점,2019.07.20
